model_id,org_id,A,C,O,REL10,R50,n_valid_source
kevin009/flyingllama-v2,kevin009,0.24786324786324787,0.3033169031868162,0.05545365532356833,0.006786196383244267,0.747008547008547,1170
kevin009/lamatama,kevin009,0.36324786324786323,0.30745896264076944,-0.055788900607093794,0.00915310533435183,0.6205128205128205,1170
kevin009/llamaRAGdrama,kevin009,0.7196581196581197,0.4299664997541407,-0.28969161990397896,0.0942687418924554,0.1794871794871795,1170
kevinpro/Vicuna-13B-CoT,kevinpro,0.5273037542662116,0.3475498324978987,-0.17975392176831284,0.037872668436462885,0.36860068259385664,1172
keyfan/vicuna-chinese-replication-v1.1,keyfan,0.4282051282051282,0.31805568745045376,-0.11014944075467442,0.015539105205903726,0.5196581196581197,1170
kfkas/Llama-2-ko-7b-Chat,kfkas,0.40512820512820513,0.3138666830373982,-0.09126152209080696,0.010996778080857542,0.5367521367521367,1170
khKim/adapter_test,khKim,0.5572649572649573,0.32041516155355076,-0.23684979571140652,0.059816273547399414,0.35555555555555557,1170
khoantap/wizard-limarp,khoantap,0.5863247863247864,0.3360210868528003,-0.25030369947198605,0.06681024773575435,0.31794871794871793,1170
kidyu/Moza-7B-v1.0,kidyu,0.6658119658119658,0.39122864792289186,-0.2745833178890739,0.08212329209585696,0.26324786324786326,1170
kihoonlee/stock-solar-10.7b-v1,kihoonlee,0.7598290598290598,0.39824582551121535,-0.36158323431784445,0.14645278311079357,0.12478632478632479,1170
kimdeokgi/dpo_model_test1,kimdeokgi,0.6581196581196581,0.35877018567219765,-0.29934947244746046,0.0986364381514957,0.2376068376068376,1170
kimdeokgi/merge_model_test1,kimdeokgi,0.7888888888888889,0.5100636780372653,-0.2788252108516236,0.09363961917874994,0.11794871794871795,1170
kimdeokgi/merge_model_test2,kimdeokgi,0.7931623931623931,0.5011952170924123,-0.2919671760699808,0.09972086068449891,0.11623931623931624,1170
kimou605/BioTATA-7B,kimou605,0.42136752136752137,0.3363387967087922,-0.08502872465872918,0.0197362858244114,0.5897435897435898,1170
kimou605/shadow-clown-BioMistral-7B-DARE,kimou605,0.6735042735042736,0.3617460016955473,-0.31175827180872623,0.10547644664215862,0.2222222222222222,1170
kimou605/shadow-clown-BioMistral-7B-SLERP,kimou605,0.647008547008547,0.34661051454534314,-0.3003980324632039,0.09649605350934984,0.24786324786324787,1170
kimwooglae/AISquare-Instruct-SOLAR-10.7b-v0.5.31,kimwooglae,0.6068376068376068,0.31749718224865914,-0.28934042458894765,0.08780028471412445,0.28717948717948716,1170
kimwooglae/AISquare-Instruct-SOLAR-10.7b-v0.5.32,kimwooglae,0.6188034188034188,0.323938451132642,-0.2948649676707768,0.09099052092862708,0.28034188034188035,1170
kingbri/airolima-chronos-grad-l2-13B,kingbri,0.5957264957264957,0.34097310416548704,-0.2547533915610087,0.07252751435372855,0.28888888888888886,1170
kingbri/chronolima-airo-grad-l2-13B,kingbri,0.5957264957264957,0.34108255406483334,-0.2546439416616624,0.07262331255926484,0.28717948717948716,1170
kittn/mistral-7B-v0.1-hf,kittn,0.6025641025641025,0.3183500678055006,-0.2842140347586019,0.08576243377011869,0.28888888888888886,1170
klosax/open_llama_13b_600bt_preview,klosax,0.4427350427350427,0.3050046038375992,-0.13773043889744352,0.022307650294399486,0.48717948717948717,1170
klosax/open_llama_3b_350bt_preview,klosax,0.36495726495726494,0.3025786094680737,-0.06237865548919125,0.006850016651521873,0.6153846153846154,1170
klosax/open_llama_7b_400bt_preview,klosax,0.39487179487179486,0.30154877110281936,-0.0933230237689755,0.01100945950680703,0.5623931623931624,1170
klosax/pythia-160m-deduped-step92k-193bt,klosax,0.24273504273504273,0.3034980761106577,0.06076303337561498,0.00885064730021356,0.770940170940171,1170
klosax/pythia-70m-deduped-step44k-92bt,klosax,0.22136752136752136,0.31093396551791963,0.08956644415039827,0.016399611967506767,0.8170940170940171,1170
kno10/ende-chat-0.0.4,kno10,0.5615384615384615,0.3218536726465044,-0.23968478889195716,0.06193172730764494,0.347008547008547,1170
kodonho/Momo-70b-DPO-mixed,kodonho,0.2623931623931624,0.33193606196826647,0.06954289957510407,0.011804231590328706,0.7299145299145299,1170
kodonho/Solar-M-SakuraSolar-Mixed,kodonho,0.4581196581196581,0.40822075597019297,-0.04989890214946513,0.006882456668751947,0.47692307692307695,1170
